,TS代码,股票代码,股票名称,行业
1578,300121.SZ,300121,阳谷华泰,化工原料
1579,300122.SZ,300122,智飞生物,生物制药
1580,300123.SZ,300123,亚光科技,半导体
1581,300124.SZ,300124,汇川技术,电器仪表
1582,300125.SZ,300125,聆达股份,电气设备
1583,300126.SZ,300126,锐奇股份,轻工机械
1584,300127.SZ,300127,银河磁体,元器件
1585,300128.SZ,300128,锦富技术,元器件
1586,300129.SZ,300129,泰胜风能,电气设备
1587,300130.SZ,300130,新国都,IT设备
1588,300131.SZ,300131,英唐智控,元器件
1589,300132.SZ,300132,青松股份,化工原料
1590,300133.SZ,300133,华策影视,影视音像
1591,300134.SZ,300134,大富科技,通信设备
1592,300135.SZ,300135,宝利国际,化工原料
1593,300136.SZ,300136,信维通信,通信设备
1594,300137.SZ,300137,先河环保,环境保护
1595,300138.SZ,300138,晨光生物,食品
1596,300139.SZ,300139,晓程科技,元器件
1597,300140.SZ,300140,中环装备,环境保护
1598,300141.SZ,300141,和顺电气,电气设备
1599,300142.SZ,300142,沃森生物,生物制药
1600,300143.SZ,300143,盈康生命,医疗保健
1601,300144.SZ,300144,宋城演艺,旅游景点
1602,300145.SZ,300145,中金环境,专用机械
1603,300146.SZ,300146,汤臣倍健,医疗保健
1604,300147.SZ,300147,香雪制药,中成药
1605,300148.SZ,300148,天舟文化,互联网
1606,300149.SZ,300149,睿智医药,生物制药
1607,300150.SZ,300150,世纪瑞尔,软件服务
1608,300151.SZ,300151,昌红科技,机械基件
1609,300152.SZ,300152,科融环境,环境保护
1610,300153.SZ,300153,科泰电源,电气设备
1611,300154.SZ,300154,瑞凌股份,元器件
1612,300155.SZ,300155,安居宝,元器件
1613,300157.SZ,300157,恒泰艾普,石油开采
1614,300158.SZ,300158,振东制药,化学制药
1615,300159.SZ,300159,新研股份,航空
1616,300160.SZ,300160,秀强股份,玻璃
1617,300161.SZ,300161,华中数控,机床制造
1618,300162.SZ,300162,雷曼光电,元器件
1619,300163.SZ,300163,先锋新材,其他建材
1620,300164.SZ,300164,通源石油,石油开采
1621,300165.SZ,300165,天瑞仪器,电器仪表
1622,300166.SZ,300166,东方国信,软件服务
1623,300167.SZ,300167,迪威迅,通信设备
1624,300168.SZ,300168,万达信息,软件服务
1625,300169.SZ,300169,天晟新材,塑料
1626,300170.SZ,300170,汉得信息,软件服务
1627,300171.SZ,300171,东富龙,医疗保健
1628,300172.SZ,300172,中电环保,环境保护
1629,300173.SZ,300173,福能东方,轻工机械
1630,300174.SZ,300174,元力股份,化工原料
1631,300175.SZ,300175,朗源股份,食品
1632,300176.SZ,300176,派生科技,汽车配件
1633,300177.SZ,300177,中海达,通信设备
1634,300178.SZ,300178,*ST腾邦,旅游服务
1635,300179.SZ,300179,四方达,矿物制品
1636,300180.SZ,300180,华峰超纤,化纤
1637,300181.SZ,300181,佐力药业,中成药
1638,300182.SZ,300182,捷成股份,软件服务
1639,300183.SZ,300183,东软载波,通信设备
1640,300184.SZ,300184,力源信息,元器件
1641,300185.SZ,300185,通裕重工,工程机械
1642,300187.SZ,300187,永清环保,环境保护
1643,300188.SZ,300188,美亚柏科,软件服务
1644,300189.SZ,300189,神农科技,种植业
1645,300190.SZ,300190,维尔利,环境保护
1646,300191.SZ,300191,潜能恒信,石油开采
1647,300192.SZ,300192,科德教育,文教休闲
1648,300193.SZ,300193,佳士科技,专用机械
1649,300194.SZ,300194,福安药业,化学制药
1650,300195.SZ,300195,长荣股份,轻工机械
1651,300196.SZ,300196,长海股份,玻璃
1652,300197.SZ,300197,节能铁汉,环境保护
1653,300198.SZ,300198,纳川股份,塑料
1654,300199.SZ,300199,翰宇药业,化学制药
1655,300200.SZ,300200,高盟新材,化工原料
1656,300201.SZ,300201,海伦哲,专用机械
1657,300202.SZ,300202,*ST聚龙,IT设备
1658,300203.SZ,300203,聚光科技,环境保护
1659,300204.SZ,300204,舒泰神,生物制药
1660,300205.SZ,300205,天喻信息,元器件
1661,300206.SZ,300206,理邦仪器,医疗保健
1662,300207.SZ,300207,欣旺达,元器件
1663,300208.SZ,300208,青岛中程,电气设备
1664,300209.SZ,300209,天泽信息,软件服务
1665,300210.SZ,300210,森远股份,专用机械
1666,300211.SZ,300211,亿通科技,通信设备
1667,300212.SZ,300212,易华录,软件服务
1668,300213.SZ,300213,佳讯飞鸿,通信设备
1669,300214.SZ,300214,日科化学,化工原料
1670,300215.SZ,300215,电科院,电气设备
1671,300217.SZ,300217,东方电热,电器仪表
1672,300218.SZ,300218,安利股份,塑料
1673,300219.SZ,300219,鸿利智汇,元器件
1674,300220.SZ,300220,金运激光,元器件
1675,300221.SZ,300221,银禧科技,塑料
1676,300222.SZ,300222,科大智能,电气设备
1677,300223.SZ,300223,北京君正,半导体
1678,300224.SZ,300224,正海磁材,元器件
1679,300225.SZ,300225,金力泰,染料涂料
1680,300226.SZ,300226,上海钢联,互联网
1681,300227.SZ,300227,光韵达,元器件
1682,300228.SZ,300228,富瑞特装,化工机械
1683,300229.SZ,300229,拓尔思,软件服务
1684,300230.SZ,300230,永利股份,塑料
1685,300231.SZ,300231,银信科技,软件服务
1686,300232.SZ,300232,洲明科技,半导体
1687,300233.SZ,300233,金城医药,化学制药
1688,300234.SZ,300234,开尔新材,陶瓷
1689,300235.SZ,300235,方直科技,软件服务
1690,300236.SZ,300236,上海新阳,半导体
1691,300237.SZ,300237,美晨生态,建筑工程
1692,300238.SZ,300238,冠昊生物,医疗保健
1693,300239.SZ,300239,东宝生物,生物制药
1694,300240.SZ,300240,飞力达,仓储物流
1695,300241.SZ,300241,瑞丰光电,半导体
1696,300242.SZ,300242,佳云科技,互联网
1697,300243.SZ,300243,瑞丰高材,化工原料
1698,300244.SZ,300244,迪安诊断,医疗保健
1699,300245.SZ,300245,天玑科技,软件服务
1700,300246.SZ,300246,宝莱特,医疗保健
1701,300247.SZ,300247,融捷健康,医疗保健
1702,300248.SZ,300248,新开普,软件服务
1703,300249.SZ,300249,依米康,软件服务
1704,300250.SZ,300250,初灵信息,软件服务
1705,300251.SZ,300251,光线传媒,影视音像
1706,300252.SZ,300252,金信诺,通信设备
1707,300253.SZ,300253,卫宁健康,软件服务
1708,300254.SZ,300254,仟源医药,化学制药
1709,300255.SZ,300255,常山药业,生物制药
1710,300256.SZ,300256,星星科技,元器件
1711,300257.SZ,300257,开山股份,机械基件
1712,300258.SZ,300258,精锻科技,汽车配件
1713,300259.SZ,300259,新天科技,电器仪表
1714,300260.SZ,300260,新莱应材,机械基件
1715,300261.SZ,300261,雅本化学,农药化肥
1716,300262.SZ,300262,巴安水务,环境保护
1717,300263.SZ,300263,隆华科技,专用机械
1718,300264.SZ,300264,佳创视讯,通信设备
1719,300265.SZ,300265,通光线缆,电气设备
1720,300266.SZ,300266,兴源环境,环境保护
1721,300267.SZ,300267,尔康制药,化学制药
1722,300268.SZ,300268,佳沃股份,农业综合
1723,300269.SZ,300269,ST联建,半导体
1724,300270.SZ,300270,中威电子,通信设备
1725,300271.SZ,300271,华宇软件,软件服务
1726,300272.SZ,300272,开能健康,家用电器
1727,300273.SZ,300273,和佳医疗,医疗保健
1728,300274.SZ,300274,阳光电源,电气设备
1729,300275.SZ,300275,梅安森,软件服务
1730,300276.SZ,300276,三丰智能,专用机械
1731,300277.SZ,300277,海联讯,软件服务
1732,300278.SZ,300278,*ST华昌,专用机械
1733,300279.SZ,300279,和晶科技,元器件
1734,300280.SZ,300280,紫天科技,广告包装
1735,300281.SZ,300281,金明精机,专用机械
1736,300282.SZ,300282,三盛教育,文教休闲
1737,300283.SZ,300283,温州宏丰,电气设备
1738,300284.SZ,300284,苏交科,建筑工程
